time, px, py, pz, qx, qy, qz, qw
1.7808, 0.201248, 0.256621, 1.44705, -0.022527, -0.0200125, -0.713283, 0.700228
1.80011, 0.201467, 0.25596, 1.4476, -0.0248899, -0.0193641, -0.713397, 0.70005
1.82064, 0.201458, 0.255733, 1.44746, -0.0228074, -0.0197937, -0.713916, 0.69958
1.84016, 0.200974, 0.255465, 1.44745, -0.024178, -0.0183051, -0.714797, 0.698674
1.86022, 0.201753, 0.254857, 1.44738, -0.0230411, -0.0182978, -0.713678, 0.699856
1.8808, 0.202166, 0.254558, 1.44722, -0.0218671, -0.0190369, -0.713719, 0.699832
1.90083, 0.201477, 0.254423, 1.4473, -0.024696, -0.0180548, -0.714859, 0.698599
1.92054, 0.20225, 0.254089, 1.44668, -0.0213622, -0.0203886, -0.714001, 0.699521
1.94006, 0.20245, 0.253676, 1.44662, -0.022482, -0.0186386, -0.713725, 0.699817
1.96043, 0.202613, 0.253422, 1.44641, -0.0221515, -0.0196534, -0.71398, 0.699539
1.98057, 0.202145, 0.253414, 1.44598, -0.0232204, -0.0187815, -0.715104, 0.69838
2.00005, 0.203026, 0.253078, 1.44539, -0.0216069, -0.0200321, -0.71385, 0.699679
2.02059, 0.203473, 0.25272, 1.44554, -0.0215596, -0.0210685, -0.713448, 0.70006
2.04046, 0.20356, 0.252683, 1.44504, -0.0209763, -0.0219539, -0.7136, 0.699895
2.06085, 0.203503, 0.252729, 1.44461, -0.0216568, -0.0211845, -0.713685, 0.699811
2.08074, 0.203722, 0.252573, 1.44447, -0.0224202, -0.0208369, -0.713945, 0.699533
2.10075, 0.204398, 0.25231, 1.44439, -0.0211942, -0.0228762, -0.713638, 0.69982
2.12075, 0.204019, 0.252454, 1.44423, -0.0228282, -0.0206083, -0.713984, 0.699486
2.1408, 0.204081, 0.252465, 1.4441, -0.023394, -0.0209749, -0.714221, 0.699215
2.16089, 0.204663, 0.252552, 1.44379, -0.0213904, -0.0217005, -0.714021, 0.699461
2.18067, 0.204464, 0.252583, 1.44406, -0.0240455, -0.0196498, -0.714311, 0.699139
2.19991, 0.204738, 0.252896, 1.44376, -0.0212491, -0.0218727, -0.714518, 0.698952
2.22069, 0.204778, 0.252959, 1.44366, -0.0225006, -0.0202179, -0.714592, 0.698887
2.24061, 0.204989, 0.252977, 1.4438, -0.0231224, -0.0196233, -0.714533, 0.698944
2.2609, 0.205416, 0.253432, 1.4433, -0.0197647, -0.020391, -0.714422, 0.699139
2.28083, 0.205099, 0.253678, 1.4432, -0.0226555, -0.0177586, -0.714361, 0.699185
2.30057, 0.205519, 0.253845, 1.44288, -0.0202545, -0.0191054, -0.714556, 0.699024
2.32072, 0.205716, 0.25411, 1.44275, -0.0199812, -0.0183445, -0.714511, 0.699098
2.3403, 0.205845, 0.254476, 1.44249, -0.0201996, -0.0193464, -0.714555, 0.69902
2.36063, 0.20594, 0.2547, 1.44209, -0.0202315, -0.0210469, -0.714741, 0.69878
2.38065, 0.206045, 0.254887, 1.44207, -0.021554, -0.0192376, -0.714477, 0.699062
2.39989, 0.206458, 0.255234, 1.44176, -0.0200828, -0.0204163, -0.714495, 0.699054
2.42066, 0.206335, 0.255707, 1.44143, -0.0209571, -0.0198421, -0.714725, 0.69881
2.44059, 0.206328, 0.256059, 1.44133, -0.021761, -0.019693, -0.714792, 0.698721
2.46059, 0.206768, 0.256229, 1.44139, -0.0209806, -0.0204146, -0.714395, 0.69913
2.48075, 0.206859, 0.256684, 1.44148, -0.0208247, -0.0202329, -0.714406, 0.699129
2.49979, 0.206734, 0.257338, 1.4414, -0.0213911, -0.0199923, -0.71447, 0.699053
2.52089, 0.207126, 0.257539, 1.44161, -0.0215263, -0.0211435, -0.714407, 0.69908
2.54062, 0.207469, 0.257809, 1.44211, -0.0214593, -0.0210584, -0.714254, 0.69924
2.56067, 0.206974, 0.25847, 1.4424, -0.0226584, -0.0189282, -0.714943, 0.69856
2.58078, 0.207058, 0.259039, 1.44231, -0.0214741, -0.0194832, -0.714999, 0.698524
2.60064, 0.207382, 0.259401, 1.44274, -0.0214718, -0.0186627, -0.714763, 0.698788
2.62074, 0.207829, 0.259917, 1.44329, -0.0209109, -0.0186657, -0.714501, 0.699072
2.64022, 0.207187, 0.260617, 1.44353, -0.0220398, -0.0184077, -0.716142, 0.697363
2.66061, 0.207069, 0.261129, 1.44381, -0.0233301, -0.0167204, -0.716465, 0.697032
2.68012, 0.208152, 0.261509, 1.44388, -0.0197799, -0.0188082, -0.715383, 0.698199
2.70062, 0.208283, 0.262005, 1.44435, -0.0207309, -0.0185648, -0.715136, 0.698431
2.72069, 0.207596, 0.262888, 1.44438, -0.0216221, -0.0159114, -0.716564, 0.697004
2.74056, 0.208452, 0.263227, 1.44433, -0.0199401, -0.0175729, -0.715556, 0.69805
2.76054, 0.208767, 0.263603, 1.44489, -0.0214193, -0.0175552, -0.715599, 0.697962
2.78084, 0.208852, 0.26433, 1.44475, -0.0198156, -0.0183253, -0.716142, 0.697433
2.80079, 0.208472, 0.265057, 1.44473, -0.0212244, -0.0171119, -0.716985, 0.696555
2.82024, 0.209333, 0.265273, 1.44478, -0.0204919, -0.0177129, -0.715886, 0.697691
2.8408, 0.210089, 0.26581, 1.44474, -0.0179859, -0.0193348, -0.715485, 0.698129
2.86079, 0.209239, 0.26663, 1.44471, -0.0205055, -0.015862, -0.716895, 0.696699
2.88016, 0.209672, 0.267107, 1.44453, -0.0193965, -0.0175974, -0.716938, 0.696645
2.89992, 0.210707, 0.267291, 1.44459, -0.0185567, -0.0194881, -0.715642, 0.697948
2.92069, 0.210647, 0.267911, 1.44452, -0.0191942, -0.0190275, -0.716024, 0.697552
2.94001, 0.210276, 0.268671, 1.44429, -0.0193489, -0.01872, -0.7171, 0.69645
2.9605, 0.211124, 0.268917, 1.44405, -0.0185051, -0.0187685, -0.715615, 0.697997
2.9805, 0.211635, 0.269384, 1.44402, -0.018361, -0.0192191, -0.715515, 0.698092
3.00063, 0.211548, 0.270063, 1.44385, -0.0183626, -0.0190179, -0.715734, 0.697872
3.02016, 0.211229, 0.270679, 1.44374, -0.0194798, -0.0183715, -0.716599, 0.696971
3.0405, 0.212164, 0.270819, 1.44383, -0.0186271, -0.0196913, -0.715114, 0.698483
3.06051, 0.212495, 0.27129, 1.444, -0.0185604, -0.0206279, -0.715143, 0.698427
3.07981, 0.211999, 0.272078, 1.4441, -0.0196833, -0.0193289, -0.716378, 0.697167
3.10046, 0.212748, 0.272306, 1.4442, -0.0192734, -0.021143, -0.714879, 0.698663
3.12049, 0.212691, 0.273264, 1.44376, -0.0176516, -0.0181107, -0.716133, 0.697506
3.1404, 0.213048, 0.273378, 1.4448, -0.0209338, -0.0189647, -0.715318, 0.698228
3.16056, 0.212841, 0.274083, 1.44478, -0.020251, -0.0201434, -0.716361, 0.697145
3.18054, 0.213681, 0.274401, 1.44481, -0.0189608, -0.0199873, -0.714929, 0.698654
3.20022, 0.213856, 0.274776, 1.44553, -0.0199809, -0.0190423, -0.714862, 0.698721
3.22047, 0.213962, 0.275541, 1.44562, -0.0187158, -0.020333, -0.715361, 0.698208
3.2405, 0.21384, 0.276049, 1.44581, -0.0205565, -0.0187681, -0.715439, 0.69812
3.26059, 0.214509, 0.276487, 1.44602, -0.0188371, -0.0193463, -0.715211, 0.698387
3.27986, 0.214917, 0.27693, 1.44656, -0.0189507, -0.0198117, -0.714911, 0.698677
3.30094, 0.214201, 0.277721, 1.44649, -0.0200862, -0.0176837, -0.716412, 0.697164
3.32082, 0.214941, 0.278103, 1.44629, -0.0182458, -0.0188564, -0.715305, 0.69832
3.34043, 0.215314, 0.278479, 1.44677, -0.0189028, -0.0181585, -0.715182, 0.698446
3.36063, 0.215491, 0.279069, 1.44672, -0.0176881, -0.0189418, -0.715543, 0.698088
3.38071, 0.215013, 0.279789, 1.44655, -0.0194588, -0.0177894, -0.716385, 0.697207
3.40087, 0.215701, 0.280039, 1.44654, -0.0184389, -0.018676, -0.715437, 0.698184
3.42062, 0.216226, 0.280446, 1.44645, -0.0169712, -0.0192175, -0.715244, 0.698404
3.44074, 0.216, 0.280955, 1.4463, -0.018076, -0.0186627, -0.715388, 0.698244
3.46069, 0.216211, 0.281574, 1.44596, -0.0164548, -0.0191626, -0.715298, 0.698363
3.48057, 0.216497, 0.281747, 1.44612, -0.0180736, -0.0198185, -0.714972, 0.698639
3.5006, 0.216949, 0.282163, 1.44596, -0.016615, -0.0208172, -0.714788, 0.698833
3.52092, 0.216047, 0.282997, 1.44575, -0.0179017, -0.0185267, -0.716423, 0.69719
3.5408, 0.216797, 0.283149, 1.44551, -0.0173415, -0.020541, -0.715097, 0.698508
3.56041, 0.217305, 0.283298, 1.44565, -0.0176452, -0.0213014, -0.714911, 0.698668
3.58079, 0.216686, 0.2839, 1.44569, -0.0195819, -0.019258, -0.715561, 0.69801
3.60083, 0.216732, 0.284399, 1.44535, -0.0183335, -0.0205157, -0.715769, 0.697795
3.62026, 0.217222, 0.284617, 1.44545, -0.0181747, -0.0205919, -0.715126, 0.698456
3.64051, 0.217052, 0.285047, 1.44575, -0.0188629, -0.0188726, -0.715542, 0.69806
3.66083, 0.216895, 0.285506, 1.44575, -0.018764, -0.0188908, -0.715914, 0.697681
3.68079, 0.216453, 0.286046, 1.44576, -0.0202712, -0.017717, -0.717074, 0.696477
3.7008, 0.217187, 0.286227, 1.44577, -0.0184875, -0.0184839, -0.71603, 0.69758
3.72084, 0.21721, 0.286521, 1.44596, -0.0187659, -0.0177009, -0.716066, 0.697555
3.74079, 0.216614, 0.287203, 1.44584, -0.019087, -0.0165434, -0.717072, 0.696542
3.76034, 0.216834, 0.287538, 1.44576, -0.0186199, -0.0163749, -0.716814, 0.696824
3.78086, 0.217349, 0.287568, 1.44587, -0.0183473, -0.0172998, -0.716243, 0.697395
3.80083, 0.217548, 0.287966, 1.44563, -0.0171161, -0.0192144, -0.716183, 0.697438
3.82053, 0.216765, 0.288582, 1.44549, -0.0191903, -0.0173148, -0.717295, 0.69629
3.83988, 0.217445, 0.288595, 1.44531, -0.0173341, -0.0187365, -0.716284, 0.697342
3.8608, 0.217892, 0.288757, 1.44518, -0.0167065, -0.0193955, -0.715981, 0.69765
3.88081, 0.217384, 0.289205, 1.44509, -0.0179186, -0.018281, -0.716416, 0.697204
3.90077, 0.216771, 0.289698, 1.44498, -0.0188629, -0.0175283, -0.717431, 0.696154
3.92028, 0.217485, 0.289607, 1.44494, -0.0186037, -0.0195421, -0.716417, 0.69715
3.94009, 0.217669, 0.289863, 1.44512, -0.0180334, -0.0200784, -0.716217, 0.697356
3.95994, 0.216873, 0.290533, 1.44492, -0.018978, -0.0188554, -0.717537, 0.696006
3.98058, 0.216807, 0.290709, 1.44489, -0.0200872, -0.0182151, -0.71757, 0.695958
4.00023, 0.217724, 0.290596, 1.4452, -0.0189092, -0.0210824, -0.71619, 0.69733
4.02024, 0.217289, 0.291103, 1.44527, -0.0190934, -0.0195905, -0.716737, 0.696807
4.04063, 0.21667, 0.291566, 1.4454, -0.0203057, -0.0190314, -0.717807, 0.695686
4.06063, 0.21722, 0.291636, 1.44538, -0.0190489, -0.021462, -0.716618, 0.696875
4.08085, 0.217214, 0.291928, 1.4459, -0.0197432, -0.0206141, -0.716666, 0.696832
4.10079, 0.216967, 0.292449, 1.44589, -0.0192776, -0.0198231, -0.716956, 0.69657
4.12093, 0.216673, 0.292895, 1.44609, -0.0198643, -0.0211131, -0.717663, 0.695787
4.14083, 0.216887, 0.293034, 1.44646, -0.0207215, -0.0191138, -0.71675, 0.696761
4.16023, 0.216967, 0.293216, 1.44693, -0.0204708, -0.0207427, -0.716822, 0.696647
4.18022, 0.21621, 0.293901, 1.44712, -0.0209297, -0.0204545, -0.718117, 0.695307
4.20083, 0.216473, 0.294209, 1.44727, -0.0195609, -0.0202455, -0.717006, 0.696499
4.22087, 0.216823, 0.29442, 1.44767, -0.0184925, -0.0208047, -0.716602, 0.696927
4.24064, 0.216601, 0.294923, 1.44803, -0.0188729, -0.0198687, -0.716709, 0.696834
4.2607, 0.215743, 0.295602, 1.44831, -0.0199808, -0.0191609, -0.718338, 0.695143
4.28069, 0.216235, 0.295764, 1.44848, -0.019024, -0.0196689, -0.717084, 0.696449
4.30021, 0.216229, 0.29604, 1.449, -0.0196546, -0.0191578, -0.716925, 0.69661
4.32094, 0.215935, 0.296664, 1.44924, -0.0186191, -0.0197963, -0.717264, 0.696272
4.34079, 0.215304, 0.29721, 1.44958, -0.0203525, -0.0181515, -0.718103, 0.695402
4.36068, 0.216238, 0.297236, 1.44984, -0.0181859, -0.0209562, -0.716736, 0.696792
4.38052, 0.21591, 0.297805, 1.45021, -0.0180445, -0.0194448, -0.717223, 0.696339
4.40084, 0.214991, 0.298444, 1.45052, -0.0205078, -0.0171525, -0.718451, 0.695063
4.4207, 0.214967, 0.29878, 1.45068, -0.0198176, -0.0187313, -0.718437, 0.695058
4.44034, 0.215645, 0.298967, 1.45089, -0.017929, -0.0192516, -0.717106, 0.696467
4.46069, 0.215507, 0.299318, 1.45139, -0.0184093, -0.0194034, -0.717035, 0.696524
4.48059, 0.214589, 0.300032, 1.4515, -0.018846, -0.0178464, -0.718611, 0.694928
4.49999, 0.215025, 0.300142, 1.45172, -0.0191134, -0.0186053, -0.717593, 0.695951
4.52058, 0.215374, 0.300432, 1.45204, -0.0175693, -0.0192917, -0.717432, 0.69614
4.54061, 0.214858, 0.300979, 1.45225, -0.0184032, -0.017317, -0.717778, 0.695813
4.56069, 0.214172, 0.301467, 1.45241, -0.0192617, -0.016782, -0.718717, 0.694834
4.58066, 0.215014, 0.301459, 1.45254, -0.0170017, -0.0188331, -0.717416, 0.696182
4.60088, 0.214996, 0.301734, 1.45312, -0.0182248, -0.0174984, -0.71721, 0.696399
4.62092, 0.214142, 0.302335, 1.45309, -0.0182566, -0.01826, -0.719013, 0.694517
4.64077, 0.214015, 0.302625, 1.45313, -0.0191266, -0.0166431, -0.718551, 0.695012
4.66065, 0.214921, 0.30252, 1.45332, -0.0171944, -0.0183756, -0.717354, 0.696255
4.68076, 0.214508, 0.302962, 1.45307, -0.0163546, -0.0178583, -0.717981, 0.695642
4.7, 0.213457, 0.303308, 1.45325, -0.0194266, -0.0154055, -0.719074, 0.694491
4.72012, 0.214203, 0.303388, 1.45277, -0.0155855, -0.017328, -0.717902, 0.695754
4.74081, 0.214227, 0.303442, 1.45295, -0.0174145, -0.0165377, -0.717772, 0.695864
4.76035, 0.213838, 0.30369, 1.45281, -0.0169769, -0.0176457, -0.718483, 0.695113
4.78066, 0.213237, 0.303985, 1.45246, -0.0168474, -0.0174031, -0.71933, 0.694246
4.80089, 0.213988, 0.30369, 1.45243, -0.0164827, -0.0179419, -0.7176, 0.696029
4.82081, 0.214012, 0.303789, 1.45213, -0.0147282, -0.018746, -0.717796, 0.695845
